00DF,90D6,160C,4F03
00E0,90E9,8897,9B21
00E1,90E8,2D34,B022
00E2,90EB,3051,14D2
00E3,90EA,C0A5,0482
00E4,90ED,969A,E6DE
00E5,90EC,3C34,0522
00E6,90EF,979A,B02F
00E7,90EE,1B20,6785
00E8,90E1,4798,8724
00E9,90E0,9826,8894
00EA,90E3,C0B5,BFD0
00EB,90E2,3561,4FD2
00EC,90E5,4698,9624
00ED,90E4,CCE5,9625
00EE,90E7,FDCE,0598
00EF,90E6,4820,8725
00F0,90F9,575B,9068
00F1,90F8,5137,BD61
00F2,90FB,7642,12A4
00F3,90FA,7640,12B4
00F4,90FD,5763,9062
00F5,90FC,7346,0C54
00F6,90FF,775B,BD64
00F7,90FE,2155,8562
00F8,90F1,236E,8552
00F9,90F0,565B,8568
00FA,90F3,7730,4AB4
00FB,90F2,7632,4AB1
00FC,90F5,316E,9060
00FD,90F4,7336,906F
00FE,90F7,5136,0C64
00FF,90F6,2355,8558
0100,9109,3306,5A9C
0101,9108,211A,A151
0102,910B,5189,5EB5
0103,910A,5186,5E65
0104,910D,51D8,722D
0105,910C,538F,59AE
0106,910F,3309,A15E
0107,910E,3687,5DDD
0108,9101,73DA,5DD3
0109,9100,51D2,5C8C
010A,9103,2786,D365
010B,9102,2789,D364
010C,9105,368A,7C23
010D,9104,5380,5D9B
010E,9107,2117,595E
010F,9106,73D7,5C8B
0110,9119,BF8D,F068
0111,9118,6F0D,7B2D
0112,911B,6013,A7DB
0113,911A,008E,A785
0114,911D,B2D1,F4A0
0115,911C,6F1D,7B9D
0116,911F,0AD1,7821
0117,911E,B083,FFA0
0118,9111,BCDE,F2B6
0119,9110,B48D,C568
011A,9113,05DE,A685
011B,9112,6003,D6DB
011C,9115,0DDE,C2A7
011D,9114,0F81,FD6A
011E,9117,04D1,7B91
011F,9116,B583,CC59
0120,9129,B78D,0738
0121,9128,661D,3A5D
0122,912B,6E03,CABB
0123,912A,69DE,FAE3
0124,912D,0601,BBE0
0125,912C,610D,3DBD
0126,912F,B3D1,3A4C
0127,912E,B883,B7E0
0128,9121,0B0E,07E7
0129,9120,B61D,4B38
012A,9123,0B8E,FCE3
012B,9122,6B13,FCBB
012C,9125,B9DE,B8C6
012D,9124,63D1,0749
012E,9127,0681,3CCC
012F,9126,BB13,4B3A
0130,9139,2A34,49F1
0131,9138,7241,65FF
0132,913B,543C,65F8
0133,913A,2454,0529
0134,913D,7244,4E74
0135,913C,5234,E578
0136,913F,5A31,B59A
0137,913E,3461,1974
0138,9131,7F4D,89F4
0139,9130,3234,4EF1
013A,9133,2F54,B029
013B,9132,7F3C,E07F
013C,9135,7F3D,9E71
013D,9134,2A41,89F1
013E,9137,2241,B09A
013F,9136,3F51,9974
0140,9149,2E36,4247
0141,9148,234A,B551
0142,914B,2759,0564
0143,914A,2856,0565
0144,914D,3339,4A36
0145,914C,214A,B051
0146,914F,2139,B55E
0147,914E,3867,1236
0148,9141,365A,1C39
0149,9140,3936,4A47
014A,9143,2B56,B065
014B,9142,2659,B064
014C,9145,376A,4D39
014D,9144,2E47,4C4A
014E,9147,2947,B05E
014F,9146,3B57,4D4A
0150,9159,076A,B79E
0151,9158,663F,8A77
0152,915B,9830,8AF6
0153,915A,4856,1AF7
0154,915D,6648,B625
0155,915C,E73F,9277
0156,915F,6638,4AF6
0157,915E,1867,0725
0158,9151,8B42,67F3
0159,9150,065A,B69E
015A,9153,4B56,1277
015B,9152,8B30,8A76
015C,9155,8B32,E67B
015D,9154,B759,67FB
015E,9157,B659,42F6
015F,9156,1B57,E773
0160,9169,EF8A,1932
0161,9168,6219,C545
0162,916B,6A08,C5E1
0163,916A,62DA,F5EC
0164,916D,028F,B1EF
0165,916C,EF0A,2F3E
0166,916F,E4D8,C533
0167,916E,B488,B9EF
0168,9161,0F0A,09AF
0169,9160,B21F,41C2
016A,9163,0F8A,FFEC
016B,9162,6F18,F4C4
016C,9165,B2DA,B3B8
016D,9164,EAD8,1952
016E,9167,0209,2F33
016F,9166,BF18,41B0
0170,9179,EFAE,193D
0171,9178,0234,C732
0172,917B,6261,F84F
0173,917A,62BE,F7E0
0174,917D,B24C,B1EB
0175,917C,EA6D,2BC8
0176,917F,EF51,C738
0177,917E,B4A3,B9EB
0178,9171,BF4D,B94C
0179,9170,B2EB,41CD
017A,9173,0FAE,FBE0
017B,9172,0F51,2BE0
017C,9175,B45D,414C
017D,9174,EAB3,1333
017E,9177,02C5,2B38
017F,9176,BFE3,41C3
0180,9189,076E,B55A
0181,9188,B654,4D45
0182,918B,4755,1D4E
0183,918A,4854,1A41
0184,918D,0651,B069
0185,918C,B754,4C45
0186,918F,0761,4A44
0187,918E,1861,0569
0188,9181,165E,0566
0189,9180,065E,B05A
018A,9183,4B54,1231
018B,9182,4655,1C3E
